"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","pbachp","TimeFrame","GeoVintage","Source","Location"
"Census Tract","04013422607","AZ","04013422607","=""04013422607""","29.50","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422609","AZ","04013422609","=""04013422609""","25.04","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422610","AZ","04013422610","=""04013422610""","25.14","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422615","AZ","04013422615","=""04013422615""","39.75","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422617","AZ","04013422617","=""04013422617""","40.59","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422618","AZ","04013422618","=""04013422618""","30.48","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422624","AZ","04013422624","=""04013422624""","29.81","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422625","AZ","04013422625","=""04013422625""","12.71","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422626","AZ","04013422626","=""04013422626""","17.61","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422633","AZ","04013422633","=""04013422633""","22.22","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422634","AZ","04013422634","=""04013422634""","19.44","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422636","AZ","04013422636","=""04013422636""","30.53","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422637","AZ","04013422637","=""04013422637""","33.35","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422638","AZ","04013422638","=""04013422638""","36.49","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422640","AZ","04013422640","=""04013422640""","40.72","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422642","AZ","04013422642","=""04013422642""","39.15","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422643","AZ","04013422643","=""04013422643""","30.16","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422647","AZ","04013422647","=""04013422647""","57.65","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422648","AZ","04013422648","=""04013422648""","36.98","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422649","AZ","04013422649","=""04013422649""","32.53","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422650","AZ","04013422650","=""04013422650""","22.51","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422651","AZ","04013422651","=""04013422651""","40.52","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422652","AZ","04013422652","=""04013422652""","38.69","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422654","AZ","04013422654","=""04013422654""","40.65","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422655","AZ","04013422655","=""04013422655""","30.63","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422659","AZ","04013422659","=""04013422659""","30.69","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422660","AZ","04013422660","=""04013422660""","32.85","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013522801","AZ","04013522801","=""04013522801""","N/A","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013522802","AZ","04013522802","=""04013522802""","29.05","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013817600","AZ","04013817600","=""04013817600""","53.64","2020-2024","2022","Census","Mesa (City, 2020)"
