"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","mhhinc","TimeFrame","GeoVintage","Layer_Source","store_name","address","address2","city","state","zip5","county","store_type","incentive_program","grantee_name","Point_Source","Location"
"Census Tract","04013040515","AZ","04013040515","=""04013040515""","68929","2020-2024","2022","Census","Aguila 76 1","51348 W Highway 60","","Aguila","AZ","85320","MARICOPA","Convenience Store","","","USDA","Maricopa (County, 2022)"
"Census Tract","04013040515","AZ","04013040515","=""04013040515""","68929","2020-2024","2022","Census","Eagle Eye Mart","51445 US Hwy 60","","Aguila","AZ","85320","MARICOPA","Convenience Store","","","USDA","Maricopa (County, 2022)"
"Census Tract","04013040502","AZ","04013040502","=""04013040502""","67407","2020-2024","2022","Census","McDonald's #6217","370 E Wickenburg Way","","Wickenburg","AZ","85390","MARICOPA","Restaurant Meals Program","","","USDA","Maricopa (County, 2022)"
"Census Tract","04013040502","AZ","04013040502","=""04013040502""","67407","2020-2024","2022","Census","S&S Wickenburg Llc","1115 W Wickenburg Way","","Wickenburg","AZ","85390","MARICOPA","Convenience Store","","","USDA","Maricopa (County, 2022)"
"Census Tract","04013040502","AZ","04013040502","=""04013040502""","67407","2020-2024","2022","Census","Burger King #23617","520 E Wickenburg Way","","Wickenburg","AZ","85390","MARICOPA","Restaurant Meals Program","","","USDA","Maricopa (County, 2022)"
"Census Tract","04013040502","AZ","04013040502","=""04013040502""","67407","2020-2024","2022","Census","Circle K 2701286","104 E Wickenburg Way","","Wickenburg","AZ","85390","MARICOPA","Convenience Store","","","USDA","Maricopa (County, 2022)"
"Census Tract","04013040502","AZ","04013040502","=""04013040502""","67407","2020-2024","2022","Census","Maverik 600","784 W Wickenburg Way","","Wickenburg","AZ","85390","MARICOPA","Convenience Store","","","USDA","Maricopa (County, 2022)"
"Census Tract","04013040502","AZ","04013040502","=""04013040502""","67407","2020-2024","2022","Census","Bashas' 55","275 N Tegner St","","Wickenburg","AZ","85390","MARICOPA","Super Store","","","USDA","Maricopa (County, 2022)"
"Census Tract","04013040502","AZ","04013040502","=""04013040502""","67407","2020-2024","2022","Census","Family Dollar Store 5048","1235 W Wickenburg Way","","Wickenburg","AZ","85390","MARICOPA","Other","","","USDA","Maricopa (County, 2022)"
"Census Tract","04013040502","AZ","04013040502","=""04013040502""","67407","2020-2024","2022","Census","Dollar General 6937","825 N Tegner St","","Wickenburg","AZ","85390","MARICOPA","Other","","","USDA","Maricopa (County, 2022)"
"Census Tract","04013216822","AZ","04013216822","=""04013216822""","163974","2020-2024","2022","Census","Target Store T-1327","32351 N Scottsdale Rd","","Scottsdale","AZ","85262","MARICOPA","Super Store","","","USDA","Maricopa (County, 2022)"
"Census Tract","04013613100","AZ","04013613100","=""04013613100""","105441","2020-2024","2022","Census","Walgreens 03766","34402 N Scottsdale Rd","","Scottsdale","AZ","85266","MARICOPA","Other","","","USDA","Maricopa (County, 2022)"
"Census Tract","04013216842","AZ","04013216842","=""04013216842""","161089","2020-2024","2022","Census","Walgreens 06534","20631 N Scottsdale Rd","","Scottsdale","AZ","85255","MARICOPA","Other","","","USDA","Maricopa (County, 2022)"
"Census Tract","04013613000","AZ","04013613000","=""04013613000""","197750","2020-2024","2022","Census","Walmart 5835","34399 N Cave Creek Rd","","Cave Creek","AZ","85331","MARICOPA","Super Store","","","USDA","Maricopa (County, 2022)"
"Census Tract","04013030401","AZ","04013030401","=""04013030401""","150943","2020-2024","2022","Census","Wilcox Gas Operating LLC","7201 E Cave Creek Rd","","Carefree","AZ","85377","MARICOPA","Convenience Store","","","USDA","Maricopa (County, 2022)"
"Census Tract","04013216822","AZ","04013216822","=""04013216822""","163974","2020-2024","2022","Census","SAFEWAY  1849","32551 N Scottsdale Rd","","Scottsdale","AZ","85266","MARICOPA","Supermarket","","","USDA","Maricopa (County, 2022)"
"Census Tract","04013216840","AZ","04013216840","=""04013216840""","138194","2020-2024","2022","Census","SAFEWAY 1253","23565 N Scottsdale Rd","","Scottsdale","AZ","85255","MARICOPA","Supermarket","","","USDA","Maricopa (County, 2022)"
"Census Tract","04013216841","AZ","04013216841","=""04013216841""","113542","2020-2024","2022","Census","Sprouts Farmers Market 29","23269 N Scottsdale Rd","","Scottsdale","AZ","85255","MARICOPA","Supermarket","","","USDA","Maricopa (County, 2022)"
"Census Tract","04013615202","AZ","04013615202","=""04013615202""","110361","2020-2024","2022","Census","Sprouts Farmers Market 30","5455 E High St","Ste 107","Phoenix","AZ","85054","MARICOPA","Supermarket","","","USDA","Maricopa (County, 2022)"
"Census Tract","04013612500","AZ","04013612500","=""04013612500""","127875","2020-2024","2022","Census","Sprouts Farmers Market 44","5355 E. Carefree Hwy","Building A","Cave Creek","AZ","85331","MARICOPA","Supermarket","","","USDA","Maricopa (County, 2022)"
