"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","p_crd_obesity","TimeFrame","GeoVintage","Source","Location"
"Census Tract","04013422302","AZ","04013422302","=""04013422302""","31.2","2023","2022","CDC_PLACES","Mesa (City, 2020)"
"Census Tract","04013422501","AZ","04013422501","=""04013422501""","31.8","2023","2022","CDC_PLACES","Mesa (City, 2020)"
"Census Tract","04013422502","AZ","04013422502","=""04013422502""","30.6","2023","2022","CDC_PLACES","Mesa (City, 2020)"
"Census Tract","04013422503","AZ","04013422503","=""04013422503""","31.1","2023","2022","CDC_PLACES","Mesa (City, 2020)"
"Census Tract","04013422504","AZ","04013422504","=""04013422504""","29.4","2023","2022","CDC_PLACES","Mesa (City, 2020)"
"Census Tract","04013422513","AZ","04013422513","=""04013422513""","28.0","2023","2022","CDC_PLACES","Mesa (City, 2020)"
"Census Tract","04013422514","AZ","04013422514","=""04013422514""","31.5","2023","2022","CDC_PLACES","Mesa (City, 2020)"
"Census Tract","04013422607","AZ","04013422607","=""04013422607""","26.8","2023","2022","CDC_PLACES","Mesa (City, 2020)"
"Census Tract","04013422609","AZ","04013422609","=""04013422609""","30.0","2023","2022","CDC_PLACES","Mesa (City, 2020)"
"Census Tract","04013422610","AZ","04013422610","=""04013422610""","27.1","2023","2022","CDC_PLACES","Mesa (City, 2020)"
"Census Tract","04013422615","AZ","04013422615","=""04013422615""","30.4","2023","2022","CDC_PLACES","Mesa (City, 2020)"
"Census Tract","04013422617","AZ","04013422617","=""04013422617""","28.4","2023","2022","CDC_PLACES","Mesa (City, 2020)"
"Census Tract","04013422618","AZ","04013422618","=""04013422618""","24.2","2023","2022","CDC_PLACES","Mesa (City, 2020)"
"Census Tract","04013422624","AZ","04013422624","=""04013422624""","28.6","2023","2022","CDC_PLACES","Mesa (City, 2020)"
"Census Tract","04013422625","AZ","04013422625","=""04013422625""","31.6","2023","2022","CDC_PLACES","Mesa (City, 2020)"
"Census Tract","04013422626","AZ","04013422626","=""04013422626""","28.7","2023","2022","CDC_PLACES","Mesa (City, 2020)"
"Census Tract","04013422633","AZ","04013422633","=""04013422633""","31.5","2023","2022","CDC_PLACES","Mesa (City, 2020)"
"Census Tract","04013422634","AZ","04013422634","=""04013422634""","31.2","2023","2022","CDC_PLACES","Mesa (City, 2020)"
"Census Tract","04013422636","AZ","04013422636","=""04013422636""","28.6","2023","2022","CDC_PLACES","Mesa (City, 2020)"
