"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","ptranmv","TimeFrame","GeoVintage","Source","Location"
"Census Tract","04013422640","AZ","04013422640","=""04013422640""","72.81","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422642","AZ","04013422642","=""04013422642""","69.64","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422643","AZ","04013422643","=""04013422643""","82.20","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422647","AZ","04013422647","=""04013422647""","61.51","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422648","AZ","04013422648","=""04013422648""","71.93","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422649","AZ","04013422649","=""04013422649""","71.87","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422650","AZ","04013422650","=""04013422650""","76.48","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422651","AZ","04013422651","=""04013422651""","67.85","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422652","AZ","04013422652","=""04013422652""","77.81","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422654","AZ","04013422654","=""04013422654""","68.50","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422655","AZ","04013422655","=""04013422655""","80.55","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422659","AZ","04013422659","=""04013422659""","71.80","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422660","AZ","04013422660","=""04013422660""","73.48","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013522801","AZ","04013522801","=""04013522801""","N/A","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013522802","AZ","04013522802","=""04013522802""","59.38","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013817600","AZ","04013817600","=""04013817600""","66.14","2020-2024","2022","Census","Mesa (City, 2020)"
