"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","cpop","TimeFrame","GeoVintage","Source","Location"
"Census Tract","04013422625","AZ","04013422625","=""04013422625""","4739","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422626","AZ","04013422626","=""04013422626""","2741","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422633","AZ","04013422633","=""04013422633""","3010","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422634","AZ","04013422634","=""04013422634""","5750","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422636","AZ","04013422636","=""04013422636""","3765","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422637","AZ","04013422637","=""04013422637""","3693","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422638","AZ","04013422638","=""04013422638""","4407","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422640","AZ","04013422640","=""04013422640""","4991","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422642","AZ","04013422642","=""04013422642""","5424","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422643","AZ","04013422643","=""04013422643""","5938","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422647","AZ","04013422647","=""04013422647""","12550","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422648","AZ","04013422648","=""04013422648""","6282","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422649","AZ","04013422649","=""04013422649""","7294","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422650","AZ","04013422650","=""04013422650""","2767","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422651","AZ","04013422651","=""04013422651""","4708","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422652","AZ","04013422652","=""04013422652""","2517","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422654","AZ","04013422654","=""04013422654""","5315","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422655","AZ","04013422655","=""04013422655""","3937","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422659","AZ","04013422659","=""04013422659""","1778","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422660","AZ","04013422660","=""04013422660""","5255","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013522801","AZ","04013522801","=""04013522801""","0","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013522802","AZ","04013522802","=""04013522802""","1128","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013817600","AZ","04013817600","=""04013817600""","9733","2020-2024","2022","Census","Mesa (City, 2020)"
