"store_name","address","address2","city","state","zip5","county","store_type","incentive_program","grantee_name","Source","Location"
"Circle K 2709180","315 N Litchfield Rd","","Goodyear","AZ","85338","MARICOPA","Convenience Store","","","USDA","Maricopa (County, 2022)"
"Circle K 2709181","20203 N 67th Ave","","Glendale","AZ","85308","MARICOPA","Convenience Store","","","USDA","Maricopa (County, 2022)"
"Circle K 2709182","3989 W Ray Rd","","Chandler","AZ","85226","MARICOPA","Convenience Store","","","USDA","Maricopa (County, 2022)"
"Circle K 2709183","3033 W Queen Creek Rd","","Chandler","AZ","85248","MARICOPA","Convenience Store","","","USDA","Maricopa (County, 2022)"
"Circle K 2709184","15262 N Tatum Blvd","","Phoenix","AZ","85032","MARICOPA","Convenience Store","","","USDA","Maricopa (County, 2022)"
"Circle K 2709186","1595 N Avondale Blvd","","Avondale","AZ","85392","MARICOPA","Convenience Store","","","USDA","Maricopa (County, 2022)"
"Circle K 2709187","295 S Arizona Ave","","Chandler","AZ","85225","MARICOPA","Convenience Store","","","USDA","Maricopa (County, 2022)"
"Circle K 2709189","3502 W Anthem Way","","Anthem","AZ","85086","MARICOPA","Convenience Store","","","USDA","Maricopa (County, 2022)"
"Circle K 2709190","4930 N 91st Ave","","Phoenix","AZ","85037","MARICOPA","Convenience Store","","","USDA","Maricopa (County, 2022)"
"Circle K 2709191","1153 S Signal Butte Rd","","Mesa","AZ","85208","MARICOPA","Convenience Store","","","USDA","Maricopa (County, 2022)"
"Circle K 2709192","4135 W Anthem Way","","Anthem","AZ","85086","MARICOPA","Convenience Store","","","USDA","Maricopa (County, 2022)"
"Circle K 2709193","3140 E Broadway Rd","","Phoenix","AZ","85040","MARICOPA","Convenience Store","","","USDA","Maricopa (County, 2022)"
"Circle K 2709523","9418 N 7th St","","Phoenix","AZ","85020","MARICOPA","Convenience Store","","","USDA","Maricopa (County, 2022)"
"Circle K 2709529","5601 E Bell Rd","","Scottsdale","AZ","85254","MARICOPA","Convenience Store","","","USDA","Maricopa (County, 2022)"
"Circle K 2709545","297 N 107th Ave","","Tolleson","AZ","85353","MARICOPA","Convenience Store","","","USDA","Maricopa (County, 2022)"
"Circle K 2721566","3502 W Peoria Ave","","Phoenix","AZ","85029","MARICOPA","Convenience Store","","","USDA","Maricopa (County, 2022)"
"Circle K 2723452","3030 N Dobson Rd","","Mesa","AZ","85224","MARICOPA","Convenience Store","","","USDA","Maricopa (County, 2022)"
"Circle K 2741604","1015 S COOPER RD","","CHANDLER","AZ","85225","MARICOPA","Convenience Store","","","USDA","Maricopa (County, 2022)"
"Circle K Store 2741603","5205 E McKellips Rd","","Mesa","AZ","85215","MARICOPA","Convenience Store","","","USDA","Maricopa (County, 2022)"
"Circle K Store 2741612","5850 W McDowell Rd","","Phoenix","AZ","85035","MARICOPA","Convenience Store","","","USDA","Maricopa (County, 2022)"
"Circle K Store 2741615","2754 N Power Rd","","Mesa","AZ","85215","MARICOPA","Convenience Store","","","USDA","Maricopa (County, 2022)"
"Circle K Store 2741621","5158 E University Dr","","Mesa","AZ","85205","MARICOPA","Convenience Store","","","USDA","Maricopa (County, 2022)"
"Circle K Store 2741622","2350 E Baseline Rd","","Phoenix","AZ","85042","MARICOPA","Convenience Store","","","USDA","Maricopa (County, 2022)"
"Circle K Store 2741626","6691 W Greenway Rd","","Glendale","AZ","85306","MARICOPA","Convenience Store","","","USDA","Maricopa (County, 2022)"
"Circle K Store 2741630","401 S Ellsworth Rd","","Mesa","AZ","85208","MARICOPA","Convenience Store","","","USDA","Maricopa (County, 2022)"
"Circle K Store 2741635","3980 E McDowell Rd","","Phoenix","AZ","85008","MARICOPA","Convenience Store","","","USDA","Maricopa (County, 2022)"
"Circle K Store 2741641","13908 W Bell Rd","","Surprise","AZ","85374","MARICOPA","Convenience Store","","","USDA","Maricopa (County, 2022)"
"Circle K Store 2741652","5049 W Buckeye Rd","","Phoenix","AZ","85043","MARICOPA","Convenience Store","","","USDA","Maricopa (County, 2022)"
"Circle K Store 2741655","5110 W Baseline Rd","","Laveen","AZ","85339","MARICOPA","Convenience Store","","","USDA","Maricopa (County, 2022)"
"Circle K Store 2741702","2955 E Riggs Rd","","Chandler","AZ","85249","MARICOPA","Convenience Store","","","USDA","Maricopa (County, 2022)"
"Circle K Store 2741705","13012 W Indian School Rd","","Litchfield Park","AZ","85340","MARICOPA","Convenience Store","","","USDA","Maricopa (County, 2022)"
"Circle K Store 2741707","2011 S Ellsworth Rd","","Mesa","AZ","85209","MARICOPA","Convenience Store","","","USDA","Maricopa (County, 2022)"
"Circle K Store 2741711","2865 N Scottsdale Rd","","Scottsdale","AZ","85257","MARICOPA","Convenience Store","","","USDA","Maricopa (County, 2022)"
"Circle K Store 2741712","14559 W Grand Ave","","Surprise","AZ","85374","MARICOPA","Convenience Store","","","USDA","Maricopa (County, 2022)"
"Circle K Store 2741713","16794 W Bell Rd","","Surprise","AZ","85374","MARICOPA","Convenience Store","","","USDA","Maricopa (County, 2022)"
"Cirlce K 2741653","7550 S Rural Rd","","Tempe","AZ","85283","MARICOPA","Convenience Store","","","USDA","Maricopa (County, 2022)"
"Clark Park Community Garden Farmers Market","1780 S Roosevelt St","","Tempe","AZ","85281","MARICOPA","Farmers and Markets","","Pinnacle Prevention Corporation","USDA","Maricopa (County, 2022)"
"Cloves Indian Grocery & Kitchen 02","1930 W Thunderbird Rd","Ste 108","Phoenix","AZ","85023","MARICOPA","Grocery Store","","","USDA","Maricopa (County, 2022)"
"Colbys","570 E Galveston St","","Chandler","AZ","85225","MARICOPA","Grocery Store","","","USDA","Maricopa (County, 2022)"
"Come N Go Market","4432 W Peoria Ave","","Glendale","AZ","85302","MARICOPA","Convenience Store","","","USDA","Maricopa (County, 2022)"
"Comunidad Latina","1616 E Main St","Ste 128","Mesa","AZ","85203","MARICOPA","Grocery Store","","","USDA","Maricopa (County, 2022)"
"Comunidad Latina #2","2018 N 35th Ave","","Phoenix","AZ","85009","MARICOPA","Convenience Store","","","USDA","Maricopa (County, 2022)"
"Concordia Farmers Market","142 N Date","","Mesa","AZ","85201","MARICOPA","Farmers and Markets","","Pinnacle Prevention Corporation","USDA","Maricopa (County, 2022)"
"Conoco","825 E Monroe Ave","","Buckeye","AZ","85326","MARICOPA","Convenience Store","","","USDA","Maricopa (County, 2022)"
"Convenience Mart","757 S Country Club Dr","","Mesa","AZ","85210","MARICOPA","Convenience Store","","","USDA","Maricopa (County, 2022)"
"Convenient Corner Market","9330 E Poinsettia Dr","Ste 108","Scottsdale","AZ","85260","MARICOPA","Convenience Store","","","USDA","Maricopa (County, 2022)"
"Copper Stop Mini Mart","2111 S Alma School Rd","Ste 4","Mesa","AZ","85210","MARICOPA","Convenience Store","","","USDA","Maricopa (County, 2022)"
"Corner Express","3202 E Mcdowell Rd","","Phoenix","AZ","85008","MARICOPA","Convenience Store","","","USDA","Maricopa (County, 2022)"
"Corner Market","1010 W Southern Ave","","Tempe","AZ","85282","MARICOPA","Convenience Store","","","USDA","Maricopa (County, 2022)"
"Corner Store 2741669","13777 N Dysart Rd","","El Mirage","AZ","85335","MARICOPA","Convenience Store","","","USDA","Maricopa (County, 2022)"
"Corner Store 2741675","1025 N 99th Ave","","Tolleson","AZ","85353","MARICOPA","Convenience Store","","","USDA","Maricopa (County, 2022)"
"Costco Wholesale 0427","15255 N Hayden Rd","","Scottsdale","AZ","85260","MARICOPA","Super Store","","","USDA","Maricopa (County, 2022)"
"Costco Wholesale 0436","1445 W Elliot Rd","","Tempe","AZ","85284","MARICOPA","Super Store","","","USDA","Maricopa (County, 2022)"
"Costco Wholesale 0465","4502 E Oak St","","Phoenix","AZ","85008","MARICOPA","Super Store","","","USDA","Maricopa (County, 2022)"
"Costco Wholesale 0481","1415 N Arizona Ave","","Gilbert","AZ","85233","MARICOPA","Super Store","","","USDA","Maricopa (County, 2022)"
"Costco Wholesale 0490","19001 N 27th Ave","","Phoenix","AZ","85027","MARICOPA","Super Store","","","USDA","Maricopa (County, 2022)"
"Costco Wholesale 0644","2887 S Market St","","Gilbert","AZ","85295","MARICOPA","Super Store","","","USDA","Maricopa (County, 2022)"
"Costco Wholesale 0674","17550 N 79th Ave","","Glendale","AZ","85308","MARICOPA","Super Store","","","USDA","Maricopa (County, 2022)"
"Costco Wholesale 0691","10000 W McDowell Rd","","Avondale","AZ","85392","MARICOPA","Super Store","","","USDA","Maricopa (County, 2022)"
"Costco Wholesale 0736","595 S Galleria Way","","Chandler","AZ","85226","MARICOPA","Super Store","","","USDA","Maricopa (County, 2022)"
"Costco Wholesale 0738","2450 E Beardsley Rd","","Phoenix","AZ","85050","MARICOPA","Super Store","","","USDA","Maricopa (County, 2022)"
"Costco Wholesale 0827","3801 N 33rd Ave","","Phoenix","AZ","85017","MARICOPA","Super Store","","","USDA","Maricopa (County, 2022)"
"Costco Wholesale 1028","1444 S Sossaman Rd","","Mesa","AZ","85209","MARICOPA","Super Store","","","USDA","Maricopa (County, 2022)"
"Costco Wholesale 1058","4570 E Cactus Rd","","Phoenix","AZ","85032","MARICOPA","Super Store","","","USDA","Maricopa (County, 2022)"
"Costco Wholesale 1375","16385 W Waddell Rd","","Surprise","AZ","85388","MARICOPA","Super Store","","","USDA","Maricopa (County, 2022)"
"Costco Wholesale 1620","20260 S. Ellsworth Rd.","","Queen Creek","AZ","85142","MARICOPA","Super Store","","","USDA","Maricopa (County, 2022)"
"Costco Wholesale 1653","1111 N Verrado Way","","Buckeye","AZ","85326","MARICOPA","Super Store","","","USDA","Maricopa (County, 2022)"
"Cst Corner Store 1642","7165 S Val Vista","","Gilbert","AZ","85298","MARICOPA","Convenience Store","","","USDA","Maricopa (County, 2022)"
"Cst Corner Store 2741639","2575 W Sonoran Desert Dr","","Phoenix","AZ","85085","MARICOPA","Convenience Store","","","USDA","Maricopa (County, 2022)"
"Cst Corner Store 2741683","28460 N Vistancia Blvd","","Peoria","AZ","85383","MARICOPA","Convenience Store","","","USDA","Maricopa (County, 2022)"
"D's Market","3640 N Miller Rd","","Scottsdale","AZ","85251","MARICOPA","Convenience Store","","","USDA","Maricopa (County, 2022)"
"DOLLAR GENERAL 13511","8550 S Central Ave","","Phoenix","AZ","85042","MARICOPA","Other","","","USDA","Maricopa (County, 2022)"
"DOLLAR GENERAL 14141","1855 W Buckeye Rd","","Phoenix","AZ","85007","MARICOPA","Other","","","USDA","Maricopa (County, 2022)"
"DOLLAR GENERAL 14142","3949 W McDowell Rd","","Phoenix","AZ","85009","MARICOPA","Other","","","USDA","Maricopa (County, 2022)"
